Train step=100, hour=0, Loss = 2.401293022558093e-05
Train step=200, hour=0, Loss = 1.8067823475576006e-05
Train step=300, hour=0, Loss = 1.4004965123604052e-05
Train step=400, hour=0, Loss = 2.666546788532287e-05
Train step=500, hour=0, Loss = 9.83756581263151e-06
Train step=600, hour=0, Loss = 9.705192496767268e-06
Train step=700, hour=0, Loss = 8.386627087020315e-06
Train step=800, hour=0, Loss = 8.45396425575018e-06
Train step=900, hour=0, Loss = 8.76496960700024e-06
Train step=1000, hour=0, Loss = 7.600283424835652e-06
Train step=1100, hour=1, Loss = 2.9259041184559464e-05
Train step=1200, hour=1, Loss = 1.3653636415256187e-05
Train step=1300, hour=1, Loss = 1.0332081728847697e-05
Train step=1400, hour=1, Loss = 1.0354789083066862e-05
Train step=1500, hour=1, Loss = 9.479466825723648e-06
Train step=1600, hour=1, Loss = 8.222506949095987e-06
Train step=1700, hour=1, Loss = 1.0531711268413346e-05
Train step=1800, hour=2, Loss = 0.007137996144592762
Train step=1900, hour=2, Loss = 5.077449168311432e-05
Train step=2000, hour=2, Loss = 2.3715358111076057e-05
Train step=2100, hour=2, Loss = 1.550980596221052e-05
Train step=2200, hour=2, Loss = 2.39835717366077e-05
Train step=2300, hour=2, Loss = 1.2045269613736309e-05
Train step=2400, hour=2, Loss = 1.0835732609848492e-05
Train step=2500, hour=2, Loss = 1.0279067282681353e-05
Train step=2600, hour=2, Loss = 2.7238491384196095e-05
Train step=2700, hour=2, Loss = 1.0014064173446968e-05
Train step=2800, hour=3, Loss = 0.0011940808035433292
Train step=2900, hour=3, Loss = 9.033527021529153e-06
Train step=3000, hour=3, Loss = 7.616438779223245e-06
Train step=3100, hour=3, Loss = 7.027574611129239e-06
Train step=3200, hour=3, Loss = 7.286294021469075e-06
Train step=3300, hour=3, Loss = 7.168330284912372e-06
Train step=3400, hour=3, Loss = 6.8521321736625396e-06
Train step=3500, hour=3, Loss = 7.049502073641634e-06
Train step=3600, hour=3, Loss = 6.868803211546037e-06
Train step=3700, hour=4, Loss = 0.001913142972625792
Train step=3800, hour=4, Loss = 2.978774136863649e-05
Train step=3900, hour=4, Loss = 2.4703618692001328e-05
Train step=4000, hour=4, Loss = 1.707132105366327e-05
Train step=4100, hour=4, Loss = 1.5133953638724051e-05
Train step=4200, hour=4, Loss = 1.2993253221793566e-05
Train step=4300, hour=4, Loss = 9.421060894965194e-06
Train step=4400, hour=4, Loss = 8.316137609654106e-06
Train step=4500, hour=4, Loss = 8.306693416670896e-06
Train step=4600, hour=4, Loss = 1.1473610356915742e-05
Train step=4700, hour=4, Loss = 8.677399819134735e-06
Train step=4800, hour=4, Loss = 1.01941914181225e-05
Train step=4900, hour=4, Loss = 1.016722308122553e-05
Train step=5000, hour=4, Loss = 5.4338037443812937e-05
Train step=5100, hour=4, Loss = 8.521409654349554e-06
Train step=5200, hour=4, Loss = 8.765357051743194e-06
Train step=5300, hour=5, Loss = 0.00023266726930160075
Train step=5400, hour=5, Loss = 9.974472050089389e-06
Train step=5500, hour=5, Loss = 7.87738918006653e-06
Train step=5600, hour=5, Loss = 7.230197297758423e-06
Train step=5700, hour=5, Loss = 7.0576534199062735e-06
Train step=5800, hour=5, Loss = 7.071027539495844e-06
Train step=5900, hour=5, Loss = 6.799790298828157e-06
Train step=6000, hour=5, Loss = 6.774764187866822e-06
Train step=6100, hour=5, Loss = 6.922244210727513e-06
Train step=6200, hour=5, Loss = 7.051390639389865e-06
Train step=6300, hour=5, Loss = 7.07350318407407e-06
Train step=6400, hour=5, Loss = 6.743201538483845e-06
Train step=6500, hour=5, Loss = 6.783938260923605e-06
Train step=6600, hour=6, Loss = 6.203947850735858e-05
Train step=6700, hour=6, Loss = 2.3729402528260835e-05
Train step=6800, hour=6, Loss = 1.563418481964618e-05
Train step=6900, hour=6, Loss = 1.0512314474908635e-05
Train step=7000, hour=6, Loss = 1.1156307664350607e-05
Train step=7100, hour=6, Loss = 9.51177116803592e-06
Train step=7200, hour=6, Loss = 8.41426390252309e-06
Train step=7300, hour=6, Loss = 1.4027307770447806e-05
Train step=7400, hour=6, Loss = 1.0406624824099708e-05
Train step=7500, hour=6, Loss = 9.046763807418756e-06
Train step=7600, hour=6, Loss = 1.0642213965184055e-05
Train step=7700, hour=7, Loss = 0.00017321601626463234
Train step=7800, hour=7, Loss = 6.178596231620759e-05
Train step=7900, hour=7, Loss = 3.2164207368623465e-05
Train step=8000, hour=7, Loss = 1.9131113731418736e-05
Train step=8100, hour=7, Loss = 1.9978240743512288e-05
Train step=8200, hour=7, Loss = 1.6607602447038516e-05
Train step=8300, hour=7, Loss = 1.1565096428967081e-05
Train step=8400, hour=7, Loss = 1.1325391824357212e-05
Train step=8500, hour=7, Loss = 1.0104431567015126e-05
Train step=8600, hour=7, Loss = 9.284338375437073e-06
Train step=8700, hour=7, Loss = 7.622686098329723e-06
Train step=8800, hour=7, Loss = 3.484918488538824e-05
Train step=8900, hour=7, Loss = 7.852640919736587e-06
Train step=9000, hour=7, Loss = 8.294665349239949e-06
Train step=9100, hour=8, Loss = 0.0024636853486299515
Train step=9200, hour=8, Loss = 8.83923530636821e-06
Train step=9300, hour=8, Loss = 8.12223970569903e-06
Train step=9400, hour=8, Loss = 8.270510988950264e-06
Train step=9500, hour=8, Loss = 7.4237595981685445e-06
Train step=9600, hour=8, Loss = 7.065196768962778e-06
Train step=9700, hour=8, Loss = 7.398544767056592e-06
Train step=9800, hour=8, Loss = 7.76226443122141e-06
Train step=9900, hour=9, Loss = 8.324384907609783e-06
Train step=10000, hour=9, Loss = 6.947429028514307e-06
Train step=10100, hour=9, Loss = 7.001697213127045e-06
Train step=10200, hour=9, Loss = 6.596784714929527e-06
Train step=10300, hour=9, Loss = 6.4392443164251745e-06
Train step=10400, hour=9, Loss = 6.89668058839743e-06
Train step=10500, hour=10, Loss = 0.00024172138364519924
Train step=10600, hour=10, Loss = 1.4638248103437945e-05
Train step=10700, hour=10, Loss = 8.08158984000329e-06
Train step=10800, hour=10, Loss = 7.895840099081397e-06
Train step=10900, hour=12, Loss = 0.005917174741625786
Train step=11000, hour=13, Loss = 1.1509837349876761e-05
Train step=11100, hour=13, Loss = 8.066635018622037e-06
Train step=11200, hour=13, Loss = 6.758236850146204e-06
Train step=11300, hour=13, Loss = 6.684858817607164e-06
Train step=11400, hour=14, Loss = 0.0002864290727302432
Train step=11500, hour=16, Loss = 8.7010312199709e-06
Train step=11600, hour=16, Loss = 7.1080521593103185e-06
Train step=11700, hour=17, Loss = 0.0003144294605590403
Train step=11800, hour=17, Loss = 9.267994755646214e-06
Train step=11900, hour=17, Loss = 7.203370387287578e-06
Train step=12000, hour=17, Loss = 6.877163741592085e-06
Train step=12100, hour=17, Loss = 6.48744753561914e-06
Train step=12200, hour=17, Loss = 7.6191149673832115e-06
Train step=12300, hour=17, Loss = 6.553442290169187e-06
Train step=12400, hour=17, Loss = 6.617799954256043e-06
Train step=12500, hour=17, Loss = 6.516855592053616e-06
Train step=12600, hour=17, Loss = 6.542612936755177e-06
Train step=12700, hour=18, Loss = 0.00014276299043558538
Train step=12800, hour=18, Loss = 2.1231720893410966e-05
Train step=12900, hour=18, Loss = 1.2397593309287913e-05
Train step=13000, hour=18, Loss = 7.64012111176271e-06
Train step=13100, hour=18, Loss = 7.3819401222863235e-06
Train step=13200, hour=18, Loss = 9.207862603943795e-06
Train step=13300, hour=19, Loss = 1.1108470062026754e-05
Train step=13400, hour=20, Loss = 0.017433762550354004
Train step=13500, hour=20, Loss = 8.655722922412679e-06
Train step=13600, hour=20, Loss = 8.335826350958087e-06
Train step=13700, hour=21, Loss = 2.5596595151000656e-05
Train step=13800, hour=21, Loss = 1.3957582268631086e-05
Train step=13900, hour=21, Loss = 1.1182397429365665e-05
Train step=14000, hour=21, Loss = 8.537138455722015e-06
Train step=14100, hour=21, Loss = 1.0636427759891376e-05
Train step=14200, hour=21, Loss = 9.29306224861648e-06
Train step=14300, hour=21, Loss = 8.59325700730551e-06
Train step=14400, hour=21, Loss = 1.1478578926471528e-05
Train step=14500, hour=21, Loss = 9.520237654214725e-06
Train step=14600, hour=22, Loss = 1.249679371539969e-05
Train step=14700, hour=22, Loss = 7.81461494625546e-06
Train step=14800, hour=22, Loss = 7.869834007578902e-06
Train step=14900, hour=23, Loss = 0.00042255144217051566
Train step=15000, hour=23, Loss = 1.7033402400556952e-05
