Train step=100, hour=0, Loss = 9.671430587768555
Train step=200, hour=0, Loss = 9.151422500610352
Train step=300, hour=0, Loss = 9.359418869018555
Train step=400, hour=0, Loss = 9.520694732666016
Train step=500, hour=0, Loss = 9.092939376831055
Train step=600, hour=0, Loss = 9.470857620239258
Train step=700, hour=0, Loss = 9.189796447753906
Train step=800, hour=0, Loss = 8.625995635986328
Train step=900, hour=0, Loss = 8.900337219238281
Train step=1000, hour=0, Loss = 8.790009498596191
Train step=1100, hour=0, Loss = 9.497272491455078
Train step=1200, hour=0, Loss = 9.050262451171875
Train step=1300, hour=0, Loss = 8.222843170166016
Train step=1400, hour=0, Loss = 7.714352130889893
Train step=1500, hour=1, Loss = 9.598846435546875
Train step=1600, hour=1, Loss = 9.380751609802246
Train step=1700, hour=1, Loss = 9.090757369995117
Train step=1800, hour=1, Loss = 8.326108932495117
Train step=1900, hour=1, Loss = 8.937483787536621
Train step=2000, hour=1, Loss = 9.021108627319336
Train step=2100, hour=1, Loss = 8.103375434875488
Train step=2200, hour=1, Loss = 6.619318962097168
Train step=2300, hour=1, Loss = 7.632491111755371
Train step=2400, hour=1, Loss = 7.918034076690674
Train step=2500, hour=1, Loss = 7.495206832885742
Train step=2600, hour=1, Loss = 7.693947792053223
Train step=2700, hour=1, Loss = 8.783553123474121
Train step=2800, hour=1, Loss = 8.420429229736328
Train step=2900, hour=2, Loss = 9.780386924743652
Train step=3000, hour=2, Loss = 9.91610336303711
Train step=3100, hour=2, Loss = 8.732179641723633
Train step=3200, hour=2, Loss = 9.019523620605469
Train step=3300, hour=2, Loss = 8.628586769104004
Train step=3400, hour=2, Loss = 9.632394790649414
Train step=3500, hour=2, Loss = 9.8681640625
Train step=3600, hour=2, Loss = 8.636878967285156
Train step=3700, hour=2, Loss = 8.103261947631836
Train step=3800, hour=2, Loss = 8.860130310058594
Train step=3900, hour=2, Loss = 8.849786758422852
Train step=4000, hour=2, Loss = 9.07443904876709
Train step=4100, hour=2, Loss = 8.366842269897461
Train step=4200, hour=2, Loss = 7.047540664672852
Train step=4300, hour=2, Loss = 9.590582847595215
Train step=4400, hour=3, Loss = 9.721213340759277
Train step=4500, hour=3, Loss = 9.085592269897461
Train step=4600, hour=3, Loss = 10.045159339904785
Train step=4700, hour=3, Loss = 9.520872116088867
Train step=4800, hour=3, Loss = 8.659269332885742
Train step=4900, hour=3, Loss = 9.144340515136719
Train step=5000, hour=3, Loss = 9.38089656829834
Train step=5100, hour=3, Loss = 9.704883575439453
Train step=5200, hour=3, Loss = 9.466813087463379
Train step=5300, hour=3, Loss = 9.02869701385498
Train step=5400, hour=3, Loss = 9.112909317016602
Train step=5500, hour=3, Loss = 9.017699241638184
Train step=5600, hour=3, Loss = 8.077363967895508
Train step=5700, hour=3, Loss = 8.599593162536621
Train step=5800, hour=4, Loss = 9.146080017089844
Train step=5900, hour=4, Loss = 8.572697639465332
Train step=6000, hour=4, Loss = 9.913222312927246
Train step=6100, hour=4, Loss = 9.801294326782227
Train step=6200, hour=4, Loss = 8.946014404296875
Train step=6300, hour=4, Loss = 9.310232162475586
Train step=6400, hour=4, Loss = 9.838235855102539
Train step=6500, hour=4, Loss = 10.871114730834961
Train step=6600, hour=4, Loss = 9.961567878723145
Train step=6700, hour=4, Loss = 8.225107192993164
Train step=6800, hour=4, Loss = 9.640193939208984
Train step=6900, hour=5, Loss = 9.858076095581055
Train step=7000, hour=5, Loss = 8.903360366821289
Train step=7100, hour=5, Loss = 8.486810684204102
Train step=7200, hour=5, Loss = 6.17596435546875
Train step=7300, hour=5, Loss = 9.131270408630371
Train step=7400, hour=5, Loss = 9.727092742919922
Train step=7500, hour=5, Loss = 5.948604583740234
Train step=7600, hour=5, Loss = 8.60945987701416
Train step=7700, hour=5, Loss = 8.868978500366211
Train step=7800, hour=5, Loss = 6.998657703399658
Train step=7900, hour=5, Loss = 7.369114875793457
Train step=8000, hour=5, Loss = 6.34864616394043
Train step=8100, hour=5, Loss = 7.664331912994385
Train step=8200, hour=5, Loss = 9.885116577148438
Train step=8300, hour=6, Loss = 9.615497589111328
Train step=8400, hour=6, Loss = 8.742880821228027
Train step=8500, hour=6, Loss = 8.025171279907227
Train step=8600, hour=6, Loss = 8.578144073486328
Train step=8700, hour=6, Loss = 2.9265480041503906
Train step=8800, hour=6, Loss = 9.10344123840332
Train step=8900, hour=6, Loss = 9.099483489990234
Train step=9000, hour=6, Loss = 8.323271751403809
Train step=9100, hour=6, Loss = 8.634936332702637
Train step=9200, hour=6, Loss = 47.101783752441406
Train step=9300, hour=6, Loss = 8.858495712280273
Train step=9400, hour=6, Loss = 9.413503646850586
Train step=9500, hour=6, Loss = 8.409883499145508
Train step=9600, hour=6, Loss = 9.859275817871094
Train step=9700, hour=6, Loss = 1.8378442525863647
Train step=9800, hour=7, Loss = 9.47376823425293
Train step=9900, hour=7, Loss = 7.7385149002075195
Train step=10000, hour=7, Loss = 5.557879447937012
Train step=10100, hour=7, Loss = 6.992198944091797
Train step=10200, hour=7, Loss = 7.2834248542785645
Train step=10300, hour=7, Loss = 3.186943531036377
Train step=10400, hour=7, Loss = 5.371240615844727
Train step=10500, hour=7, Loss = 8.114768981933594
Train step=10600, hour=7, Loss = 6.109914779663086
Train step=10700, hour=7, Loss = 5.553147315979004
Train step=10800, hour=8, Loss = 9.891114234924316
Train step=10900, hour=8, Loss = 6.578757286071777
Train step=11000, hour=8, Loss = 8.245887756347656
Train step=11100, hour=8, Loss = 5.551589012145996
Train step=11200, hour=8, Loss = 8.295589447021484
Train step=11300, hour=8, Loss = 6.940744400024414
Train step=11400, hour=8, Loss = 6.545608043670654
Train step=11500, hour=8, Loss = 4.776060104370117
Train step=11600, hour=8, Loss = 4.4774065017700195
Train step=11700, hour=8, Loss = 4.487427234649658
Train step=11800, hour=8, Loss = 5.902036666870117
Train step=11900, hour=8, Loss = 8.350790023803711
Train step=12000, hour=8, Loss = 4.141557216644287
Train step=12100, hour=8, Loss = 6.358266830444336
Train step=12200, hour=9, Loss = 8.988229751586914
Train step=12300, hour=9, Loss = 7.476672172546387
Train step=12400, hour=9, Loss = 8.127097129821777
Train step=12500, hour=9, Loss = 7.652185916900635
Train step=12600, hour=9, Loss = 7.053529739379883
Train step=12700, hour=9, Loss = 9.182961463928223
Train step=12800, hour=9, Loss = 6.677446365356445
Train step=12900, hour=9, Loss = 6.83411979675293
Train step=13000, hour=9, Loss = 6.639394760131836
Train step=13100, hour=9, Loss = 8.950946807861328
Train step=13200, hour=9, Loss = 7.0717973709106445
Train step=13300, hour=9, Loss = 7.025375843048096
Train step=13400, hour=9, Loss = 6.405201435089111
Train step=13500, hour=9, Loss = 3.6961545944213867
Train step=13600, hour=9, Loss = 7.777213096618652
Train step=13700, hour=10, Loss = 10.230935096740723
Train step=13800, hour=10, Loss = 7.302833557128906
Train step=13900, hour=10, Loss = 8.007802963256836
Train step=14000, hour=10, Loss = 4.663087368011475
Train step=14100, hour=10, Loss = 8.048759460449219
Train step=14200, hour=10, Loss = 5.538506031036377
Train step=14300, hour=10, Loss = 5.233043193817139
Train step=14400, hour=10, Loss = 9.4700345993042
Train step=14500, hour=10, Loss = 5.7427873611450195
Train step=14600, hour=10, Loss = 5.461089134216309
Train step=14700, hour=10, Loss = 6.015663146972656
Train step=14800, hour=10, Loss = 5.4246625900268555
Train step=14900, hour=10, Loss = 6.733725070953369
Train step=15000, hour=10, Loss = 6.862583160400391
Train step=15100, hour=10, Loss = 6.270601272583008
Train step=15200, hour=11, Loss = 8.179593086242676
Train step=15300, hour=11, Loss = 7.205208778381348
Train step=15400, hour=11, Loss = 6.894811630249023
Train step=15500, hour=11, Loss = 6.7152252197265625
Train step=15600, hour=11, Loss = 6.942405700683594
Train step=15700, hour=11, Loss = 5.146518707275391
Train step=15800, hour=11, Loss = 7.349994659423828
Train step=15900, hour=11, Loss = 6.512606143951416
Train step=16000, hour=11, Loss = 5.7340474128723145
Train step=16100, hour=11, Loss = 7.017756938934326
Train step=16200, hour=11, Loss = 5.858747482299805
Train step=16300, hour=11, Loss = 4.178881645202637
Train step=16400, hour=11, Loss = 5.724071502685547
Train step=16500, hour=12, Loss = 9.224115371704102
Train step=16600, hour=12, Loss = 8.077592849731445
Train step=16700, hour=12, Loss = 6.134305953979492
Train step=16800, hour=12, Loss = 6.187341690063477
Train step=16900, hour=12, Loss = 5.616609573364258
Train step=17000, hour=12, Loss = 3.7592923641204834
Train step=17100, hour=12, Loss = 7.74495267868042
Train step=17200, hour=12, Loss = 4.273846626281738
Train step=17300, hour=12, Loss = 3.445580005645752
Train step=17400, hour=12, Loss = 5.3749098777771
Train step=17500, hour=12, Loss = 4.996490478515625
Train step=17600, hour=12, Loss = 6.27531623840332
Train step=17700, hour=12, Loss = 4.002774238586426
Train step=17800, hour=13, Loss = 9.748445510864258
Train step=17900, hour=13, Loss = 6.592576026916504
Train step=18000, hour=13, Loss = 6.958888530731201
Train step=18100, hour=13, Loss = 6.0486297607421875
Train step=18200, hour=13, Loss = 2.001746892929077
Train step=18300, hour=13, Loss = 7.541415214538574
Train step=18400, hour=13, Loss = 5.705556392669678
Train step=18500, hour=13, Loss = 5.936426162719727
Train step=18600, hour=13, Loss = 5.448084831237793
Train step=18700, hour=13, Loss = 2.5803544521331787
Train step=18800, hour=13, Loss = 3.3609626293182373
Train step=18900, hour=13, Loss = 5.125481605529785
Train step=19000, hour=13, Loss = 5.039608955383301
Train step=19100, hour=13, Loss = 6.211201190948486
Train step=19200, hour=14, Loss = 8.891362190246582
Train step=19300, hour=14, Loss = 7.807669162750244
Train step=19400, hour=14, Loss = 6.915857315063477
Train step=19500, hour=14, Loss = 7.201772689819336
Train step=19600, hour=14, Loss = 7.318436622619629
Train step=19700, hour=14, Loss = 6.284280776977539
Train step=19800, hour=14, Loss = 6.26738166809082
Train step=19900, hour=14, Loss = 4.069497108459473
Train step=20000, hour=14, Loss = 7.123467922210693
Train step=20100, hour=14, Loss = 7.867372512817383
Train step=20200, hour=14, Loss = 6.028510093688965
Train step=20300, hour=14, Loss = 6.56576681137085
Train step=20400, hour=14, Loss = 6.715814113616943
Train step=20500, hour=15, Loss = 7.792057037353516
Train step=20600, hour=15, Loss = 6.745992183685303
Train step=20700, hour=15, Loss = 7.283865451812744
Train step=20800, hour=15, Loss = 7.538747310638428
Train step=20900, hour=15, Loss = 3.4716873168945312
Train step=21000, hour=15, Loss = 7.624990463256836
Train step=21100, hour=15, Loss = 5.102787494659424
Train step=21200, hour=15, Loss = 3.7731409072875977
Train step=21300, hour=15, Loss = 6.007068634033203
Train step=21400, hour=15, Loss = 3.4658336639404297
Train step=21500, hour=15, Loss = 4.93184232711792
Train step=21600, hour=15, Loss = 6.0800347328186035
Train step=21700, hour=15, Loss = 4.163751602172852
Train step=21800, hour=15, Loss = 4.2115888595581055
Train step=21900, hour=16, Loss = 9.7383394241333
Train step=22000, hour=16, Loss = 8.750972747802734
Train step=22100, hour=16, Loss = 7.410620212554932
Train step=22200, hour=16, Loss = 8.205558776855469
Train step=22300, hour=16, Loss = 6.290055751800537
Train step=22400, hour=16, Loss = 6.271191596984863
Train step=22500, hour=16, Loss = 4.570439338684082
Train step=22600, hour=16, Loss = 4.038431167602539
Train step=22700, hour=16, Loss = 6.287398815155029
Train step=22800, hour=16, Loss = 5.99444055557251
Train step=22900, hour=16, Loss = 7.829856872558594
Train step=23000, hour=16, Loss = 5.6507344245910645
Train step=23100, hour=16, Loss = 4.276506423950195
Train step=23200, hour=16, Loss = 4.415332794189453
Train step=23300, hour=17, Loss = 9.567462921142578
Train step=23400, hour=17, Loss = 7.8349809646606445
Train step=23500, hour=17, Loss = 7.740478515625
Train step=23600, hour=17, Loss = 7.946130752563477
Train step=23700, hour=17, Loss = 6.978961944580078
Train step=23800, hour=17, Loss = 7.06450080871582
Train step=23900, hour=17, Loss = 7.895116329193115
Train step=24000, hour=17, Loss = 7.930657386779785
Train step=24100, hour=17, Loss = 7.766871452331543
Train step=24200, hour=17, Loss = 7.123434543609619
Train step=24300, hour=17, Loss = 5.50199031829834
Train step=24400, hour=17, Loss = 7.986790657043457
Train step=24500, hour=17, Loss = 7.820612907409668
Train step=24600, hour=17, Loss = 6.331624984741211
Train step=24700, hour=17, Loss = 5.6919097900390625
Train step=24800, hour=17, Loss = 6.490050315856934
Train step=24900, hour=18, Loss = 9.141119003295898
Train step=25000, hour=18, Loss = 8.586057662963867
Train step=25100, hour=18, Loss = 7.193992614746094
Train step=25200, hour=18, Loss = 8.060823440551758
Train step=25300, hour=18, Loss = 5.848807334899902
Train step=25400, hour=18, Loss = 6.565710067749023
Train step=25500, hour=18, Loss = 6.122959136962891
Train step=25600, hour=18, Loss = 7.4117817878723145
Train step=25700, hour=18, Loss = 4.51544189453125
Train step=25800, hour=18, Loss = 4.075473785400391
Train step=25900, hour=18, Loss = 4.252338409423828
Train step=26000, hour=18, Loss = 3.4433434009552
Train step=26100, hour=18, Loss = 4.9210405349731445
Train step=26200, hour=18, Loss = 7.897101402282715
Train step=26300, hour=18, Loss = 3.6928653717041016
Train step=26400, hour=19, Loss = 9.055562973022461
Train step=26500, hour=19, Loss = 7.903212547302246
Train step=26600, hour=19, Loss = 9.091747283935547
Train step=26700, hour=19, Loss = 8.794570922851562
Train step=26800, hour=19, Loss = 8.182096481323242
Train step=26900, hour=19, Loss = 5.723396301269531
Train step=27000, hour=19, Loss = 4.601284980773926
Train step=27100, hour=19, Loss = 4.651026248931885
Train step=27200, hour=19, Loss = 7.354247570037842
Train step=27300, hour=19, Loss = 6.293517112731934
Train step=27400, hour=19, Loss = 6.612181186676025
Train step=27500, hour=19, Loss = 4.986598014831543
Train step=27600, hour=19, Loss = 5.934685707092285
Train step=27700, hour=19, Loss = 6.532875061035156
Train step=27800, hour=19, Loss = 6.952047824859619
Train step=27900, hour=19, Loss = 7.374728679656982
Train step=28000, hour=20, Loss = 9.68720531463623
Train step=28100, hour=20, Loss = 8.418434143066406
Train step=28200, hour=20, Loss = 7.81586217880249
Train step=28300, hour=20, Loss = 8.022199630737305
Train step=28400, hour=20, Loss = 8.630714416503906
Train step=28500, hour=20, Loss = 7.910367965698242
Train step=28600, hour=20, Loss = 7.260331153869629
Train step=28700, hour=20, Loss = 8.102042198181152
Train step=28800, hour=20, Loss = 7.047616958618164
Train step=28900, hour=20, Loss = 7.476686000823975
Train step=29000, hour=20, Loss = 6.295347690582275
Train step=29100, hour=20, Loss = 12.28454875946045
Train step=29200, hour=20, Loss = 6.4820098876953125
Train step=29300, hour=20, Loss = 7.594447135925293
Train step=29400, hour=20, Loss = 6.296164512634277
Train step=29500, hour=20, Loss = 6.178508281707764
Train step=29600, hour=21, Loss = 9.49821662902832
Train step=29700, hour=21, Loss = 8.540864944458008
Train step=29800, hour=21, Loss = 8.343759536743164
Train step=29900, hour=21, Loss = 7.836122512817383
Train step=30000, hour=21, Loss = 7.1975297927856445
Train step=30100, hour=21, Loss = 8.730859756469727
Train step=30200, hour=21, Loss = 8.860316276550293
Train step=30300, hour=21, Loss = 6.489621162414551
Train step=30400, hour=21, Loss = 8.66018295288086
Train step=30500, hour=21, Loss = 7.544255256652832
Train step=30600, hour=21, Loss = 7.7652907371521
Train step=30700, hour=21, Loss = 6.727677345275879
Train step=30800, hour=21, Loss = 7.369653701782227
Train step=30900, hour=21, Loss = 5.599966526031494
Train step=31000, hour=21, Loss = 6.406766891479492
Train step=31100, hour=22, Loss = 9.021560668945312
Train step=31200, hour=22, Loss = 8.978656768798828
Train step=31300, hour=22, Loss = 8.446269989013672
Train step=31400, hour=22, Loss = 8.607843399047852
Train step=31500, hour=22, Loss = 8.795642852783203
Train step=31600, hour=22, Loss = 8.86500072479248
Train step=31700, hour=22, Loss = 8.346572875976562
Train step=31800, hour=22, Loss = 7.561202526092529
Train step=31900, hour=22, Loss = 7.656042575836182
Train step=32000, hour=22, Loss = 5.582863807678223
Train step=32100, hour=22, Loss = 7.542509078979492
Train step=32200, hour=22, Loss = 7.092229843139648
Train step=32300, hour=22, Loss = 8.954288482666016
Train step=32400, hour=22, Loss = 5.922212600708008
Train step=32500, hour=22, Loss = 8.778128623962402
Train step=32600, hour=22, Loss = 7.79705810546875
Train step=32700, hour=23, Loss = 9.601957321166992
Train step=32800, hour=23, Loss = 8.837972640991211
Train step=32900, hour=23, Loss = 9.011881828308105
Train step=33000, hour=23, Loss = 8.640966415405273
Train step=33100, hour=23, Loss = 9.102152824401855
Train step=33200, hour=23, Loss = 8.692946434020996
Train step=33300, hour=23, Loss = 8.248854637145996
Train step=33400, hour=23, Loss = 8.41458511352539
Train step=33500, hour=23, Loss = 8.796656608581543
Train step=33600, hour=23, Loss = 10.028886795043945
Train step=33700, hour=0, Loss = 9.11561393737793
Train step=33800, hour=0, Loss = 8.175457000732422
Train step=33900, hour=0, Loss = 9.062098503112793
Train step=34000, hour=0, Loss = 6.88578987121582
Train step=34100, hour=0, Loss = 7.765204429626465
Train step=34200, hour=0, Loss = 6.275649070739746
Train step=34300, hour=0, Loss = 7.629171848297119
Train step=34400, hour=0, Loss = 7.909771919250488
Train step=34500, hour=0, Loss = 6.070440292358398
Train step=34600, hour=0, Loss = 7.447360038757324
Train step=34700, hour=0, Loss = 8.437210083007812
Train step=34800, hour=0, Loss = 8.669502258300781
Train step=34900, hour=0, Loss = 7.904000282287598
Train step=35000, hour=0, Loss = 6.583327293395996
Train step=35100, hour=1, Loss = 8.689988136291504
Train step=35200, hour=1, Loss = 8.232259750366211
Train step=35300, hour=1, Loss = 8.551168441772461
Train step=35400, hour=1, Loss = 6.781470775604248
Train step=35500, hour=1, Loss = 8.60610580444336
Train step=35600, hour=1, Loss = 6.902552604675293
Train step=35700, hour=1, Loss = 9.301591873168945
Train step=35800, hour=1, Loss = 8.108109474182129
Train step=35900, hour=1, Loss = 8.590498924255371
Train step=36000, hour=1, Loss = 7.018963813781738
Train step=36100, hour=1, Loss = 7.532392501831055
Train step=36200, hour=1, Loss = 6.710844993591309
Train step=36300, hour=1, Loss = 7.362511157989502
Train step=36400, hour=1, Loss = 8.092962265014648
Train step=36500, hour=2, Loss = 9.964258193969727
Train step=36600, hour=2, Loss = 9.195390701293945
Train step=36700, hour=2, Loss = 6.944955348968506
Train step=36800, hour=2, Loss = 9.423666954040527
Train step=36900, hour=2, Loss = 8.734817504882812
Train step=37000, hour=2, Loss = 8.667381286621094
Train step=37100, hour=2, Loss = 10.030863761901855
Train step=37200, hour=2, Loss = 8.456790924072266
Train step=37300, hour=2, Loss = 7.633095741271973
Train step=37400, hour=2, Loss = 9.143104553222656
Train step=37500, hour=2, Loss = 8.743102073669434
Train step=37600, hour=2, Loss = 7.753424644470215
Train step=37700, hour=2, Loss = 8.555092811584473
Train step=37800, hour=2, Loss = 8.693209648132324
Train step=37900, hour=2, Loss = 8.09042739868164
Train step=38000, hour=3, Loss = 7.638240814208984
Train step=38100, hour=3, Loss = 8.001717567443848
Train step=38200, hour=3, Loss = 9.56077766418457
Train step=38300, hour=3, Loss = 9.369688034057617
Train step=38400, hour=3, Loss = 8.880144119262695
Train step=38500, hour=3, Loss = 8.461799621582031
Train step=38600, hour=3, Loss = 7.567397117614746
Train step=38700, hour=3, Loss = 8.954034805297852
Train step=38800, hour=3, Loss = 9.117862701416016
Train step=38900, hour=3, Loss = 8.475889205932617
Train step=39000, hour=3, Loss = 8.721115112304688
Train step=39100, hour=3, Loss = 9.512077331542969
Train step=39200, hour=3, Loss = 9.134668350219727
Train step=39300, hour=3, Loss = 8.193788528442383
Train step=39400, hour=4, Loss = 9.104127883911133
Train step=39500, hour=4, Loss = 8.776716232299805
Train step=39600, hour=4, Loss = 7.434564590454102
Train step=39700, hour=4, Loss = 9.39459228515625
Train step=39800, hour=4, Loss = 8.725128173828125
Train step=39900, hour=4, Loss = 8.19944953918457
Train step=40000, hour=4, Loss = 9.365636825561523
Train step=40100, hour=4, Loss = 7.070216655731201
Train step=40200, hour=4, Loss = 9.396526336669922
Train step=40300, hour=4, Loss = 8.769868850708008
Train step=40400, hour=4, Loss = 8.7313871383667
Train step=40500, hour=4, Loss = 9.391679763793945
Train step=40600, hour=5, Loss = 9.926697731018066
Train step=40700, hour=5, Loss = 9.719443321228027
Train step=40800, hour=5, Loss = 6.950660705566406
Train step=40900, hour=5, Loss = 8.592395782470703
Train step=41000, hour=5, Loss = 8.905305862426758
Train step=41100, hour=5, Loss = 8.896921157836914
Train step=41200, hour=5, Loss = 7.737645626068115
Train step=41300, hour=5, Loss = 9.385980606079102
Train step=41400, hour=5, Loss = 8.549604415893555
Train step=41500, hour=5, Loss = 9.665172576904297
Train step=41600, hour=5, Loss = 9.921396255493164
Train step=41700, hour=5, Loss = 9.170310974121094
Train step=41800, hour=5, Loss = 9.597942352294922
Train step=41900, hour=5, Loss = 8.657058715820312
Train step=42000, hour=6, Loss = 8.491909980773926
Train step=42100, hour=6, Loss = 7.024135112762451
Train step=42200, hour=6, Loss = 9.725275039672852
Train step=42300, hour=6, Loss = 7.484736442565918
Train step=42400, hour=6, Loss = 8.459695816040039
Train step=42500, hour=6, Loss = 9.518576622009277
Train step=42600, hour=6, Loss = 7.100664138793945
Train step=42700, hour=6, Loss = 9.045108795166016
Train step=42800, hour=6, Loss = 9.572818756103516
Train step=42900, hour=6, Loss = 9.85137939453125
Train step=43000, hour=6, Loss = 6.292454719543457
Train step=43100, hour=6, Loss = 9.570758819580078
